epoch,end_date,days,avg_price,avg_tvl_usd,total_volume_luna,avg_daily_volume_luna
181,2026-04-19,7,0.0032264243,51151.04,155.35,22.1927
182,2026-04-26,7,0.0033697871,56764.2,102.92,14.7029
183,2026-05-03,7,0.00379879,64389.21,262.41,37.4876
184,2026-05-10,7,0.0040532457,68940.98,113.63,16.2327
185,2026-05-17,7,0.0038431243,65755,178.32,25.4745
186,2026-05-24,7,0.0035607043,61236.08,111.56,15.9366
187,2026-05-31,7,0.0034406643,59890.83,135.72,19.3892
188,2026-06-07,7,0.0030768029,54929.35,215.82,30.8311
189,2026-06-14,7,0.00295927,52864.62,615.85,87.9788
190,2026-06-21,6,0.002922195,52554.67,868.470218,144.745036
191,2026-06-28,7,0.0027097814,48911.02,223.208124,31.886875
192,2026-07-05,7,0.00264617,47779.81,198.626018,28.375145
193,2026-07-12,7,0.00268779,49767.94,259.710074,37.101439
